"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Microsoft","MSFT","2965637169152","399.12","United States"
"2","Alphabet (Google)","GOOG","1926240796672","155.72","United States"
"3","NVIDIA","NVDA","1905000054784","762","United States"
"4","Meta Platforms (Facebook)","META","1226444767232","481.07","United States"
"5","Tesla","TSLA","468323368960","147.05","United States"
"6","Adobe","ADBE","208328949760","465.02","United States"
"7","IBM","IBM","166462570496","181.58","United States"
"8","Palantir","PLTR","45294583808","20.47","United States"
"9","Mobileye","MBLY","24372361216","30.23","Israel"
"10","Dynatrace","DT","13438355456","45.4","United States"
"11","UiPath","PATH","10668974080","18.75","United States"
"12","SentinelOne","S","6215660032","20.05","United States"
"13","Aurora Innovation","AUR","4341735936","2.8","United States"
"14","Darktrace","DARK.L","4126442028","5.89","United Kingdom"
"15","Presight AI","PRESIGHT.AE","3803167997","0.68","United Arab Emirates"
"16","C3 AI","AI","2528855296","20.72","United States"
"17","NWTN Inc.","NWTN","2009032832","7.02","United Arab Emirates"
"18","Upstart","UPST","1920304128","21.87","United States"
"19","ODDITY Tech","ODD","1903897088","33.48","Israel"
"20","Bayanat AI","BAYANAT.AE","1862694371","0.72","United Arab Emirates"
"21","Recursion Pharmaceuticals","RXRX","1724699520","7.35","United States"
"22","PROS","PRO","1563108352","33.28","United States"
"23","SoundHound AI","SOUN","1097358208","3.55","United States"
"24","Exscientia","EXAI","534748768","4.24","United Kingdom"
"25","Nano-X Imaging","NNOX","496895968","8.6","Israel"
"26","Cerence","CRNC","431332128","10.35","United States"
"27","BigBear.ai","BBAI","351810624","1.45","United States"
"28","stem","STEM","244549696","1.55","United States"
"29","Lucas GC","LGCL","210764560","2.6","China"
"30","Innodata","INOD","166766832","5.8","United States"
"31","Airship AI","AISP","154471200","6.67","United States"
"32","Semantix","STIX","117666008","0.3","Brazil"
"33","Xiao-I","AIXI","102306456","1.42","China"
"34","Appen","APX.AX","90367306","0.41","Australia"
"35","authID","AUID","72766696","7.7","United States"
"36","Bigtincan","BTH.AX","59333067","0.1","Australia"
"37","TuSimple","TSP","57472752","0.25","United States"
"38","Lantern Pharma","LTRN","57358544","5.34","United States"
"39","Knightscope","KSCP","46263664","0.4487","United States"
"40","reAlpha Tech","AIRE","31106080","0.705","United States"
"41","Duos Technologies Group","DUOT","22531186","3.08","United States"
"42","Bullfrog AI","BFRG","21196486","2.7","United States"
"43","Presto Automation","PRST","17501568","0.168","United States"
"44","SIMPPLE","SPPL","10241851","0.6312","Singapore"
"45","Jet.AI","JTAI","8909723","0.73","United States"
"46","Fr8Tech 
 (Freight Technologies)","FRGT","2176641","0.891","United States"
